#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,alpha[2] db/m,beta[2]/ko,alpha[3] db/m,beta[3]/ko,alpha[4] db/m,beta[4]/ko,alpha[5] db/m,beta[5]/ko,real(Z[1;1]),imag(Z[1;1]),
11500000000,4,138,7975,1,1.61748313721227e-12,11.475304813,1,5,9.72518515296545e-13,0.821880641538032,1146.3639028249,-1.98578107842088e-15,1681.68870161439,-3.1695076061268e-16,2062.26794314302,-5.38548246461251e-15,2062.26794314089,-1.27733493815363e-13,407.445282626918,2.5959965999329e-13,
11750000000,4,124,7177,1,3.79859651894342e-12,11.056567442,1,5,-1.68407485709586e-12,0.830165751470582,1058.96687350188,8.55909205837999e-15,1623.37227111076,-3.05141927678849e-17,2014.99620614776,-3.48796434156144e-15,2014.99620614728,-2.66022058971165e-14,403.378951098026,-1.2032134175652e-13,
12000000000,5,143,8278,1,5.33083023312847e-13,14.274498686,1,5,2.07224268262308e-11,0.837863975993955,961.523035712871,1.17657658569026e-14,1561.55475076759,-5.26187897812584e-15,1965.53438530674,7.37986063314581e-15,1965.53438530645,-6.07520278519671e-13,399.672739020751,4.44104614636473e-12,
12250000000,4,138,7975,1,2.53721248292997e-12,11.752498884,1,5,-1.08421646334624e-11,0.845031824499851,850.586459331805,-1.08740835498144e-14,1495.80213137778,-4.1220605061647e-15,1913.71267342075,6.09828554738575e-14,1913.71267341971,-1.75858966442443e-13,396.282578440566,-2.21114112492112e-12,
12500000000,4,124,7177,1,6.96424617625328e-12,11.364579805,1,5,-7.75502610393129e-12,0.851718864740411,719.946643126269,5.03258532859773e-14,1425.57001244643,-3.28807524054286e-14,1859.3337625513,8.50223229485588e-15,1859.3337625508,-1.93540213719127e-13,393.171272738894,-2.75786157936462e-12,
12750000000,4,124,7177,1,1.65423426657462e-11,11.024952264,1,5,3.82562812277285e-12,0.857968766461682,555.881354837471,1.1729089424791e-15,1350.1595357931,1.67184993123478e-14,1802.16618331155,7.6069406153288e-15,1802.16618330984,4.29601838445714e-13,390.307203660503,4.8559400034564e-13,
13000000000,4,138,7975,1,1.45247589670337e-11,12.254269987,1,5,-1.9875783503113e-13,0.863820158820577,309.095551445272,6.29641058992667e-14,1268.64760724163,7.11737677593609e-15,1741.93539821049,-1.1011970348327e-15,1741.93539820948,-2.80500181951865e-14,387.663319566814,-1.16929624205231e-13,
13250000000,4,124,7177,1,3.9860711237921e-11,11.744100305,1,5,-1.08711728189316e-11,0.869307340054623,1.62137760510961e-10,0.144848216730262,1179.77023109805,-2.07763126199427e-15,1678.31164518528,-5.63242075585259e-15,1678.31164518345,1.08273775886092e-14,385.216337923275,-1.83311643328934e-12,
13500000000,4,138,7975,1,5.10880192751414e-12,12.151051784,1,5,1.82406927656287e-12,0.874460868864458,5.15347984915703e-11,0.238594309864578,1081.7134151758,2.26785055106396e-14,1610.89294887935,1.21354119682665e-14,1610.89294887504,-1.57506752856229e-13,382.94611251378,5.42890504700756e-13,
13750000000,4,99,5758,1,6.50563626666798e-12,11.898464768,1,5,4.53059593905678e-12,0.879308060307144,-6.87248647859263e-11,0.301547110223483,971.702163479296,3.66039078252055e-14,1539.18071541007,2.38798158343018e-14,1539.18071541111,3.60188776602691e-14,380.835119517164,8.96793473966291e-13,
14000000000,4,99,5758,1,4.43662921178043e-12,10.460672783,1,5,-4.51968339580918e-12,0.883873404012028,8.72906412371235e-11,0.350897103547865,845.080673079134,2.34816734953438e-14,1462.54351189658,4.98384427292938e-14,1462.54351190089,-3.35979883879487e-13,378.868046848615,-8.11311801537025e-13,
14250000000,4,99,5758,1,4.01131268462752e-12,11.058397053,1,5,1.89400265947244e-12,0.888178918770062,2.01973603745376e-10,0.391978528733929,692.800592575524,-4.30786075161824e-14,1380.16116495526,-8.11631352058181e-14,1380.16116495656,3.67100900137499e-14,377.031455219858,-1.17419483340062e-13,
14500000000,4,112,6493,1,3.50683780476445e-12,10.856981198,1,5,-3.69860203143661e-12,0.892244454665097,-2.837634133965e-11,0.427317993445329,491.56794615854,1.04119278071381e-14,1290.93424537058,5.04191675476561e-15,1290.93424537158,5.59164220705319e-13,375.313500802499,-6.46663315928192e-13,
14750000000,6,187,10798,1,5.64950798348237e-10,21.449479942,1,5,-1.83496461094417e-11,0.896087951696057,-6.87076919416039e-12,0.458360631708517,1.03957055425478e-08,0.0107905953814073,1193.32840327004,7.35219020489842e-16,1193.3284032666,-1.71209007521837e-12,373.703707741531,-2.83383924720551e-12,
15000000000,4,112,6493,1,1.25641897838011e-11,16.525526835,1,5,-1.39370857889406e-11,0.899725662105826,1.33482037811095e-11,0.486029904642518,8.37962757262562e-11,0.18217567606517,1085.08488044544,-1.26152009872461e-12,1085.08488045282,3.08476357801667e-12,372.192773815376,-2.12057075918602e-12,
